length, mark, action, count, code, tree
  8.334,102,buy,995,[B3]0DW2#4,Bean
  1.402,199,buy,968,[P1]26U3#4,Lemon
  1.589,176,buy,43,[Y1]2RQ6#7,Oak
  0.989,82,buy,785,[C3]5EB8#3,Birch
  0.693,122,buy,119,[L3]8RP9#3,Birch
  2.034,47,buy,1000,[A4]9MH3#4,Larch
  1.710,178,buy,270,[M3]8JY2#1,Spruce
  1.379,119,buy,401,[V5]8JE9#8,Hornbeam
  9.637,157,buy,756,[Z5]4WP2#9,Bohdi
  0.408,196,buy,745,[A4]6PH6#3,Acer
  3.309,157,buy,226,[M8]7TH3#3,Birch
  1.876,140,buy,875,[V4]6LY7#2,Apple
  0.250,148,buy,1002,[F8]7YM3#1,Holly
  0.949,39,buy,773,[K7]5E9#8,Yew
  0.890,81,buy,748,[R4]6RZ5#8,Beech
  1.788,136,buy,769,[P7]4QJ0#9,Hazel
  0.422,195,buy,846,[V950LK9#7,Lemon
  0.205,174,sell,986,[B2]6TT4u4,Larch
  0.489,141,buy,321,[L0]7PE2#8,Pear
  1.349,188,buy,963,[R7]9AQ4#9,Chestnut
  0.831,131,buy,705,[N1]8FR6#3,Chestnut
  1.281,26,buy,760,[C6]9DG8#1,Acer
  1.270,141,buy,781,[G9]3M95#0,Beech
  1.354,167,buy,896,[L7]7PS1#0,Larch
  1.866,2,sell,887,[E8]3PV7#2,Elm
  0.522,191,buy,967,[B7]3KP6#0,Pear
  3.677,124,buy,477,[Q3]2PZ7#1,Beech
  0.858,76,buy,70,[X9]9RW2#3,Cherry
  9.142,149,buy,768,[B0]2VG9#8,Birch
  3.736,160,buy,15,[J5]6FN0#0,Pear
  1.488,132,buy,416,[T6]0UK4#5,Chestnut
  1.854,159,sell,766,[J2]2LY5#4,Acacia
  0.767,160,buy,837,[T7f6ES2#7,Bean
  3.135,123,buy,922,[Bb]1WH6#5,Spruce
  1.756,164,buy,919,[Q0]8BT6#0,Ebony
  2.207,145,buy,792,[E9]6WW9#1,Hornbeam
  1.883,90,buy,899,[H7]2WW5#3,Ash
  0.368,24,buy,847,[K7V3FW9#7,Acacia
  1.597,130,buy,184,[E6]4CK3#8,Ebony
  0.202,126,buy,744,[X7]7R2#8,Balsa
  2.019,66,buy,1001,[X6]6IJ3#4,Spruce
  0.346,64,buy,907,[H3]6SS7#5,Bean
  7.001,190,buy,884,[C5]GJQ9#8,Ash
  0.982,116,buy,963,[I3]80CT9#0,Balsa
  1.586,3,buy,783,[S8](OK9#8,Acer
  1.129,144,sell,930,[X8]7UH9#7,Linden
  2.210,160,buy,514,[X6]8RZ88#5,Walnut
  2.794,153,buy,781,[X4]9MT6#7,Poplar
  3.395,67,buy,776,[P4]5XS8#4,Acacia
  0.292,199,buy,981,[E7]0MZx#4,Lemon
  0.295,76,buy,851,[M3]4WR5#4,Rowan
  0.699,40,buy,866,[I7]3YX1#4,Olive
  7.272,47,sell,713,[G8]6CM2#6,Larch
  1.243,170,buy,978,[Xw]1NY1#9,Pear
  2.712,43,buy,867,[T1]7JI6#2,Elm
  0.528,119,buy,763,[M1]6WZ8#4,Olive
  2.117,171,buy,924,[P3]7MK1#8,Balsa
  1.210,53,buy,214,[F5]5AR8#5,Bohdi
  2.169,167,sell,749,[F9]3RY4#0,Beech
  1.312,91,buy,289,[Y2]6XA2#3,Bohdi
  0.896,74,buy,957,[Z9]8JF9#0,Larch
  0.494,60,buy,784,[F0]9RP3#2,Bohdi
  0.688,184,sell,764,[C0]7NR5#9,Olive
  1.571,186,buy,505,[K9]7EC2#7,Ebony
  1.956,38,buy,434,[U3]2DV7#4,Bohdi
  4.927,105,buy,850,[P6]8Ur9#7,Spruce
  0.271,138,buy,970,[H3]7IY3#7,Acer
  2.191,145,buy,903,[P2]7PJs6#0,Pear
  8.960,44,buy,318,[Y1]6EU8#3,Walnut
  3.610,77,buy,856,[Y8]4AK7#0,Bean
  0.439,98,buy,1002,[C4]5VH7#6,Yew
  5.227,189,buy,868,[J5]3DX0#1,Fir
  5.284,171,buy,998,[W3]6HI1#0,Ash
  3.986,43,buy,279,[D9]5SH6#9,Spruce
  4.684,36,buy,924,[Q9]7EX4#9,Ebony
  1.094,19,buy,842,[G7]5EE5#2,Balsa
  1.749,146,buy,886,[R9]8KX3#1,Holly
  0.822,153,sell,941,[D8]9HC2#7,Beech
  1.878,115,sell,940,[E9]3OY0#5,Lemon
  1.553,156,buy,927,[X1]6VR7#1,Bean
  0.455,150,buy,633,[A7]6SZ6#2,Hazel
  1.844,2,sell,592,[Z7]3ZZ9#1,Pear
  8.133,170,buy,848,[P5]6WI2#3,Spruce
  0.878,47,buy,990,[Z2]7JL6#8,Acacia
  1.654,28,buy,778,[U7]4WW3#1,Lemon
  1.659,159,buy,998,[X0]0QQk#8,Chestnut
  0.365,6,buy,959,[E9]3S7#2,Oak
  1.599,191,buy,885,[M6]5SG2#5,Spruce
  9.813,186,buy,370,[D5]6CE7#7,Holly
  0.720,178,sell,542,[M2]3LW3#0,Birch
  0.300,124,buy,149,[P1]9GM4#1,Larch
  1.108,198,buy,894,[%2]1IX0#5,Plane
  0.782,128,buy,902,[K1]8AX3#7,Birch
  1.618,153,buy,357,[R5]4SV8#8,Plane
  1.731,59,buy,230,[X1]5YU4#1,Acacia
  1.030,116,buy,775,[U6]0WG2#3,Elm
  0.771,88,buy,916,[Z5]1UI4#0,Hornbeam
  3.383,23,buy,850,[P8]5KL5#9,Chestnut
  0.593,199,buy,859,[Z9]0UN3#1,Beech
  2.877,166,buy,545,[U1]3NP2#0,Bohdi
  1.923,149,buy,978,[M8]4UP4#3,Chestnut
  1.565,118,buy,824,[U0]5YQ4#0,Hornbeam
  1.512,49,buy,377,[D4]8EY6#3,Fir
  3.845,5,buy,385,[P0]2YP5#6,Pear
  1.641,78,buy,747,[G2]2QJ8#2,Magnolia
  0.964,128,buy,768,[K1]8YE5#5,Elm
  0.989,135,buy,832,[C7]4QY1#7,Bohdi
  0.775,51,buy,811,[E1]3VQ7#3,Oak
  7.945,175,sell,874,[J4]1YQ8#1,Linden
  8.761,87,buy,521,[Z8]6DL5#0,Elm
  7.863,114,buy,301,[S6]6XK5#2,Elm
  2.222,152,buy,958,fV4]4YH3#0,Bohdi
  1.757,151,buy,912,[JQ]3RC7#9,Fir
  1.788,155,buy,823,[P6]2ZV5#1,Birch
  1.009,122,sell,962,[L3]2NH8#4,Lime
  0.755,164,buy,873,EC8]9NK7#7,Ebony
  7.531,111,buy,614,[F3]4WX5#5,Pear
  1.989,183,buy,375,[G4]9DB4#8,Acacia
  1.741,144,buy,134,[22]5BO5#1,Birch
  1.053,11,buy,953,[V7]3TJ5#1,Acer
  1.927,55,buy,850,[Z9]7TG3#6,Spruce
  8.493,141,buy,832,[G1]5YK8#9,Bean
  2.034,82,buy,750,[B6]0NZ5#0,Spruce
  2.213,6,buy,943,[J5e5XM4#6,Oak
  5.670,195,buy,858,[V08]0KL1#1,Larch
  9.378,46,buy,988,[E5]7WL8#9,Elm
  1.093,82,buy,941,[T2]3VU4#1,Hornbeam
  1.668,132,buy,274,[1Y5]6CW3#8,Balsa
  1.694,181,buy,859,[G9]5SY1#2,Walnut
  2.099,124,buy,881,[R4]9EV5#1,Ebony
  1.195,72,buy,914,[N2]2MY1#1,Magnolia
  1.866,164,buy,807,[T6]9VU9#6,Beech
  0.102,145,buy,750,[G8]4ER2#4,Linden
  0.718,141,sell,888,[Z3]9UQ5#0,Hazel
  1.125,79,buy,948,[W4]9NU4#7,Fir
  1.494,11,buy,800,[N9]2VS0#1,Acacia
  1.584,177,buy,63,[M3]3XZ8h8,Spruce
  1.035,98,buy,822,[Q3]7MM5#3,Balsa
  0.850,85,buy,103,[V4]1PT8#3,Pear
  0.898,178,buy,904,[I2]1YN4#8,Birch
  0.968,34,buy,236,[E9]4FZ1#5,Acacia
  0.377,116,buy,703,[O7]0GC4#7,Ebony
  0.350,78,sell,971,[M3]5EP7#4,Cherry
  1.744,58,buy,964,[H2]1IC2#6,Yew
  1.937,188,buy,122,[S0]2NP2#9,Fir
  1.259,71,buy,910,[X0]9GZ3#6,Hazel
  4.061,163,sell,238,[L2]9AV8#1,Walnut
  0.469,34,sell,516,[K3]1UX2#7,Cherry
  2.167,49,buy,1003,[Z8e7RN7#6,Apple
  0.431,41,buy,990,[C(6]1OP4#0,Linden
  2.072,172,buy,832,[W9]3TH6#2,Acacia
  0.202,191,buy,606,[A0]1TI8#2,Holly
  8.005,141,buy,848,[H3]6RH3#7,Birch
  5.471,171,buy,847,[X3]3RK1#9,Bean
  1.369,180,buy,948,[X7]0ZF1#4,Hornbeam
  2.551,130,buy,23,[F7]8YW2#7,Chestnut
  1.821,29,buy,783,[G6]6HB9#3,Larch
  1.700,88,buy,684,[Z6]6FT8#6,Walnut
  1.386,186,buy,616,[G8]8TL9#5,Ebony
  3.085,176,buy,877,[O1]8PC1G#7,Olive
  0.192,135,buy,828,[K9]5KJ7#1,Lime
  0.852,169,buy,727,[P9]7CU1#6,Walnut
  1.395,189,buy,901,[O0]2ZM5#4,Lemon
  0.735,177,buy,784,[C4]1ZK5#1,Spruce
  0.942,58,buy,924,[H6]4ZA6#1,Larch
  1.941,101,buy,843,[I7]9HK0#5,Ebony
  2.137,189,buy,291,[G9][UL8#4,Hornbeam
  0.208,178,buy,701,[X7]7HB2#0,Olive
  0.380,181,buy,915,[X9]1NV7#5,Walnut
  0.391,159,buy,863,[G5]5CP9#9,Pear
  1.113,24,buy,851,[R7]0LP3#2,Acer
  0.706,73,sell,745,[U7]1NQ9#7,Chestnut
  1.537,20,buy,283,[C4]0TD8#2,Olive
  2.380,187,buy,907,[T5]3ZZ4#2,Holly
  0.574,35,buy,522,[U1]8RB6#0,Ash
  1.243,104,buy,920,[Q5]9IZT#5,Fir
  2.143,97,buy,228,[Q3]1DE4#0,Bean
  0.156,179,buy,701,[Si]5JG8#3,Olive
  0.872,85,buy,789,[E0]7QA8#3,Elm
  0.101,178,buy,861,[S5]8LY8#3,Rowan
  0.962,0,sell,776,[L5]3nB1#0,Olive
  1.216,195,buy,814,[O0]0PS8#8,Olive
  1.963,131,buy,996,[I1]7FR7#9,Olive
  5.169,145,buy,898,[J8]7VO5#2,Lemon
  1.777,128,buy,802,[D9]4SI1#6,Spruce
  0.166,10,buy,707,[O4]6JG4#5,Oak
  5.609,160,buy,819,[O3]9MC6#8,Holly
  1.229,182,buy,824,[L8]8DU8#1,Acacia
  2.025,197,buy,813,[K4]4YY9#1,Bohdi
  1.123,50,buy,400,[Q5]20H3#4,Lemon
  0.287,17,buy,945,[T2]6BN4#5,Fir
  0.853,46,buy,893,[W1]HI4#1,Hornbeam
  2.174,140,buy,1005,[P2]6YV1#0,Holly
  1.390,118,buy,834,[W1]6LT8#9,Elm
  1.937,190,sell,798,[MS2]0JV9#1,Cherry
  0.903,108,buy,744,[G9]7CC8#0,Pear
  5.644,132,buy,932,[O3]1TX5#0,Holly
  0.212,82,sell,836,[G5]2UD1#2,Bohdi
  0.807,166,buy,870,[U0]9ZO8#9,Bohdi
  0.454,27,buy,835,[P4]6IY4#9,Larch
  1.547,150,buy,959,[I2]4GI5#2,Elm
  1.792,158,buy,776,[A9]9GH9#6,Spruce
  2.448,184,buy,108,t[G8]0RP3#9,Larch
  0.351,8,buy,419,[Q2]5KR3#2,Yew
  1.413,10,buy,983,[Q2]3WD2#8,Bean
  0.920,25,sell,754,[P2]9ER9#2,Fir
  1.371,93,buy,257,[O6]7JE0#1,Holly
  1.421,99,buy,941,[G5]2KU3#9,Rowan
  7.139,64,buy,781,[E1]7BJ)#8,Magnolia
  1.946,128,sell,776,[M6]3KT0#0,Elm
  1.754,153,sell,334,[O3]9NH8#6,Fir
  1.277,104,buy,869,[jX8]7CD8#7,Spruce
  8.077,57,buy,832,[W7]4OO9#2,Pear
  0.928,144,buy,222,[F7]5ZM8#4,Ebony
  1.548,72,buy,451,[A0]1GJ6#4,Balsa
  1.778,58,buy,556,[Q9]9WD1#9,Spruce
  1.370,157,buy,57,[M5]9LF8#4,Elm
  1.146,125,sell,900,[F1]1KB2#8,Rowan
  1.853,98,buy,962,[C5]7KH5#0,Beech
  2.090,169,sell,757,[P8]2PK0#6,Poplar
  2.742,127,buy,858,[T6]3GJ8#6,Hazel
  0.663,89,sell,927,[F4]2YR4#1,Linden
  1.092,1,buy,773,[M1]7UD0#9,Beech
  1.740,154,sell,954,[R9]0RH7#8,Walnut
  6.684,148,buy,928,[A1]0OX8#6,Ash
  0.742,151,buy,885,[X2]3+S2#0,Pear
  4.958,157,buy,409,[O3]7VO6#5,Magnolia
  2.101,131,buy,615,[D4]5CM0#6,Walnut
  7.849,103,buy,771,[P5]5PL4#8,Bohdi
  1.881,73,buy,750,[F2]9EE1#7,Beech
  0.921,130,sell,988,[C4]8CD0#0,Balsa
  1.192,76,buy,401,[O1]5RJ8#8,Bohdi
  0.586,197,buy,769,[V9]3PY2#8,Hornbeam
  0.644,190,buy,808,[N7]4WO4#6,Spruce
  0.661,12,buy,985,[F6]9RB9#8,Larch
  2.001,34,buy,71,[L5]6HI6#1,Oak
  4.506,115,sell,945,[C6]2FS1#2,Ebony
  1.008,98,sell,975,[S0]3KU0#4,Hazel
  0.908,129,buy,862,[J0]9JT5#4,Beech
  8.958,162,sell,814,[16]9FK9#4,Spruce
  2.167,196,buy,366,[J9]2QR7#0,Linden
  0.260,193,buy,875,[H8]1CB2#7,Acacia
  1.769,145,buy,889,[M9]1FB7#8,Larch
  2.113,125,buy,795,[F7]8NN0#6,Balsa
  1.217,82,buy,902,[O6]9AO400,Pear
  0.661,198,buy,298,[F8]5mL8#9,Olive
  0.269,18,buy,890,[H4]7FI0#1,Hazel
  0.824,192,buy,936,[Q1]6FM5#5,Oak
  2.096,189,buy,990,[S8]8VI4#7,Cherry
  1.682,170,buy,880,[E4]1QW5#4,Elm
  2.096,116,buy,111,[G4]4EI3#4,Pear
  0.268,7,buy,763,[N9r5BL6#2,Hazel
  2.203,191,buy,489,[M6]3EP3#6,Bean
  1.280,174,buy,931,[S9]6CL6#9,Fir
  1.062,122,buy,803,[Mb]4SE9#0,Rowan
  9.689,127,buy,843,[W3]3FA4#8,Larch
  0.463,178,buy,881,[M2]1DJB4#2,Larch
  0.810,129,sell,972,[X7]4KI3#7,Elm
  1.657,140,buy,887,[U4]9GP3#8,Birch
  3.933,194,buy,887,[P8]9FN1#5,Rowan
  2.006,56,buy,454,[L9]2IR3#4,Rowan
  4.987,84,sell,855,[A1]9UB8#9,Hornbeam
  0.931,86,buy,746,[X4]9NJ5#7,Olive
  1.285,191,buy,18,[C8]1JA6#1,Pear
  1.795,138,buy,782,[F5]8BX1#9,Fir
  0.996,195,buy,806,[JL0]5ZT5#9,Hazel
  7.420,149,buy,901,[H2]5RJ4#1,Larch
  2.112,61,buy,851,[R3]1UN7#1,Beech
  1.916,176,buy,950,[O3]5UP7#6,Holly
  0.557,23,buy,705,[R5]8GU5#7,Bohdi
  1.054,65,buy,864,[B3]2GN0#3,Bean
  4.616,41,buy,992,[M6]0CX7#8,Cherry
  6.150,39,buy,994,[C0]2GU5#9,Cherry
  2.167,117,buy,809,[V5]3EZ8#4,Spruce
  0.246,37,buy,848,[I9]91H4#2,Beech
  2.164,79,sell,877,[B5]4NA2#5,Birch
  0.213,48,buy,872,[Y4]+9RS3#6,Hazel
  2.195,195,buy,884,[S8]MK0#3,Pear
  1.608,168,buy,683,[U0]6FS9#0,Fir
  0.188,78,buy,535,[C8]1RS0#7,Acacia
  2.156,181,buy,610,[T0]8DL8#8,Cherry
  9.743,71,buy,962,[A7]2QF3#3,Holly
  1.498,148,buy,790,[L7]5NG6#3,Larch
  5.903,0,buy,695,[P6]3SN0#5,Elm
  1.164,178,buy,781,[I3]1HU4#4,Birch
  1.363,178,sell,800,[Y9]3CH0#2,Beech
  1.857,166,buy,877,[I2]3QF7#1,Elm
  0.445,187,buy,987,[Z9]3KV3#2,Hazel
  1.562,139,buy,590,[C2]1YR17,Birch
  1.863,177,buy,744,[N9]3TJQ#8,Cherry
  0.648,100,buy,659,[X4]3MK0#8,Birch
  2.016,159,sell,145,[U7]4CT3#3,Hazel
  0.630,140,buy,950,[S2]1CQ0#4,Beech
  0.437,95,buy,18,[G0]5HF2#4,Rowan
  0.683,183,buy,330,[H2]1LT1#9,Rowan
  1.165,155,buy,998,[W2]LZN7#4,Hornbeam
  2.571,138,sell,417,[R2]2LJ4#1,Hornbeam
  1.424,138,sell,770,[O7]6FC6#4,Hazel
  0.983,131,buy,832,[V4]9JJ4#6,Lemon
  2.933,141,buy,263,[Q7]4HO4#4,Olive
  1.037,4,buy,709,[B8]7MI6#1,Fir
  1.504,116,buy,899,[S3]4MD4#5,Holly
  5.709,173,buy,810,[F4]5HM7#6,Beech
  0.211,97,sell,473,[D5]9#A9#0,Chestnut
  0.543,184,buy,979,[S6]9QI1#1,Birch
  7.571,145,buy,890,[D0]0CA1#9,Larch
  3.845,123,buy,905,[I2]5XT5#8,Walnut
  0.667,190,buy,424,[K3]1OM8#5,Walnut
  7.745,98,buy,831,[A5]8HK3#4,Hazel
  1.712,175,buy,348,[C9]3GA2#7,Spruce
  0.706,129,buy,445,[T2]1UN5#0,Olive
  4.813,139,buy,719,[W5]5PC3#0,Holly
  2.061,71,buy,804,[X3]7EM0#1,Pear
  1.336,8,buy,791,[H7]7OH9#8,Apple
  0.295,49,buy,867,[S3]4MD3#7,Larch
  0.469,20,buy,773,[S6]2CZ9#3,Acacia
  1.866,20,buy,64,[D7]2UG3#5,Balsa
  1.038,44,buy,976,[Z5]6XA4#7,Lemon
  2.067,28,buy,994,[P4]1KZ2#8,Bean
  4.464,161,buy,113,[K0]5QH0#5,Cherry
  0.858,175,sell,988,[U7]7RW2#1,Holly
  0.753,2,buy,424,[Z6]9FE7f#3,Bean
  1.999,46,buy,767,[H5]2VS7#6,Birch
  0.496,197,buy,201,[S7]4KH0#8,Pear
  0.215,76,buy,428,[S9]2LH9#2,Pear
  7.505,126,sell,924,[X5]1YQ8#6,Chestnut
  5.538,183,buy,837,[N7]0FM0#4,Spruce
  0.782,198,buy,868,[X91BQ3#6,Hornbeam
  6.287,36,buy,907,[Z9]4NV5#3,Larch
  5.922,93,sell,839,[O4]0CR8#6,Elm
  6.800,194,buy,826,[T9]8LA3#1,Pear
  0.872,154,buy,988,[J5]7NP5#2,Bean
  0.303,67,buy,811,[V9]7VA2#1,Ebony
  2.577,147,buy,916,[M0]7OK4#0,Acacia
  1.500,30,buy,920,[V4]9SM2#3,Pear
  9.062,69,buy,849,[H24IE7#6,Birch
  0.361,22,sell,876,[X7]5NG5k4,Olive
  1.500,143,buy,802,[A9]5GP8#3,Hornbeam
  0.844,84,sell,611,[P5]8IK9#9,Spruce
  0.367,193,buy,99,[B7]7HO6#3,Beech
  1.379,97,buy,788,[F7]9PY3#8,Olive
  0.494,175,buy,654,[A8]2Me9#3,Hazel
  2.987,136,buy,869,[O2]2GF4#6,Fir
  5.357,90,sell,804,[M0]2TX1#4,Spruce
  1.274,63,sell,869,[B2]5VN3#2,Bean
  5.126,135,buy,195,[T6]3NT6#9,Beech
  3.493,12,sell,982,nL1]3JH6#4,Bean
  0.419,2,buy,109,[C9]3AJ2#3,Larch
  0.893,41,sell,973,[D7]6Q8#3,Magnolia
  1.495,78,buy,341,[A3]4SK9#2,Chestnut
  0.591,24,buy,548,[D9v8OU8#0,Larch
  1.723,67,buy,524,[Y1]9VA9#2,Bean
  3.736,77,buy,758,[A5]0BM4#8,Larch
  1.914,66,sell,949,[Z1]9ZI8#5,Balsa
  2.088,173,buy,817,[A8]5ID2#9,Spruce
  1.524,152,buy,914,[X0]9BO7#3,Pear
  0.673,137,buy,768,[IR]4FG5#2,Hornbeam
  1.820,60,buy,211,[E3]3VA9#1,Fir
  0.412,129,buy,790,[V2]2HN2#1,Acacia
  1.758,90,buy,830,[G8]8YJ9#0,Yew
  0.630,178,buy,728,[U8]ASE9#2,Acacia
  2.252,71,buy,925,[S0]6YX7#2,Ebony
  1.438,121,buy,809,[M9]7EU4#0,Bean
  0.852,82,buy,317,[E8]1EV7#1,Bean
  0.641,134,buy,750,[Q5]8LD0#6,Olive
  1.242,190,buy,770,[F9]1OE7#2,Balsa
  0.386,182,buy,944,[Q8]7GV7#9,Hazel
  1.823,121,buy,929,[E6]3XM6#6,Ebony
  0.230,12,buy,332,[V5]92S7#0,Ash
  0.781,171,buy,941,[D3]6XC3#1,Larch
  0.971,158,buy,990,[O9]3OX8#8,Beech
  3.429,78,buy,782,[F9]6GH9#2,Holly
  6.987,0,buy,855,[C2]3JN9#1,Hazel
  0.774,15,buy,922,[Q4]9GS7#1,Elm
  1.279,108,buy,746,[J6]1TN7#0,Larch
  1.244,51,buy,774,[A0]2KQ9#4,Spruce
  2.867,192,sell,906,[H8P5XM8#1,Elm
  0.136,157,buy,888,[W3]2GSM#2,Pear
  0.550,197,buy,567,[E7]1LK7#3,Acacia
  0.367,26,buy,851,[N9]2DB3#2,Larch
  1.556,170,sell,804,[G1]6OU9#7,Cherry
  2.055,127,buy,314,[I2]7KA5#7,Hornbeam
  0.579,106,sell,337,6[C2]7CT6#2,Rowan
  1.722,178,buy,976,[J7]2QZ6#4,Holly
  3.419,38,buy,883,[Jx9]9JQ4#5,Yew
  1.096,41,buy,787,[D3]1OM0#4,Balsa
  1.002,95,buy,354,[A6]9GQ8#3,Olive
  2.111,147,buy,871,[L4]4VK8#4,Rowan
  2.077,20,buy,879,&[G0]8BX1#5,Acer
  1.657,147,buy,840,[C1]0UL6#3,Walnut
  4.494,95,buy,933,[J3]6MR0#8,Hazel
  1.231,6,buy,537,[V5]4KU19#9,Elm
  0.952,127,buy,917,[H2]1GB1#4,Larch
  3.277,42,buy,47,[L4]0(J7#0,Acer
  6.342,118,buy,982,[O3]2YD3#6,Walnut
  1.122,198,buy,336,[B8]1ZF2#4,Olive
  2.092,186,buy,892,[Q8]2BR9#3,Ash
  2.073,127,buy,848,[B5]1XN5#5,Hazel
  1.374,120,buy,262,[Y2]6PE2#3,Birch
  6.304,94,buy,830,[D2]3PF1#5,Chestnut
  0.102,128,buy,1001,[R8]7EE0#1,Hazel
  1.288,39,buy,498,[Z1]2UK8#4,Acer
  1.517,48,sell,961,[[6]7SH4#9,Cherry
  0.832,139,buy,920,[T7]3QG4#0,Elm
  0.743,124,buy,902,[GL]7KY6#7,Acacia
  1.266,168,buy,402,[G1]2CV2#1,Spruce
  2.029,126,buy,935,[V9]8NU2#9,Balsa
  1.748,115,buy,970,[F4]6CL8#8,Birch
  1.195,133,buy,770,[Pn3]3IE7#4,Ebony
  1.180,145,buy,264,[H1]0QL0#7,Bean
  0.819,176,buy,231,[L6]5VB0#5,Bohdi
  4.043,136,buy,1003,[P4]1NG6#2,Fir
  3.820,181,buy,121,[N8]8SJ3#9,Beech
  1.894,165,buy,12,[J0]4ME9#5,Walnut
  0.404,137,buy,866,[W5]3CS7#1,Ash
  0.527,146,buy,633,[Q3]8FT6#2,Elm
  4.797,189,buy,240,[S8]1HL3#7,Ash
  1.825,121,buy,980,[B8]7ER4#3,Hazel
  0.983,130,buy,1003,[J7]1BC8#7,Bohdi
  0.631,70,buy,800,[L0]1OE5#6,Larch
  0.956,63,buy,915,[U8]6OW6#6,Cherry
  9.973,161,sell,896,[J6]2OW7#9,Yew
  1.396,119,buy,785,[Q3]6CV3#4,Hornbeam
  2.174,103,buy,809,[M8]0CU7#7,Walnut
  1.534,193,buy,666,[C7]6EX9#9,Ebony
  0.428,159,buy,7,0N3]3IB2#6,Linden
  1.257,157,buy,970,[W8]9TO9#0,Pear
  6.252,4,buy,844,tV1]6HJ3#0,Birch
  1.768,187,buy,897,[K9]4EK0#5,Fir
  1.597,97,buy,878,[S6]2SN1#5,Elm
  1.815,27,buy,766,[D1]3TP2#8,Chestnut
  0.640,139,buy,947,[I4]9DM9#6,Walnut
  0.944,190,buy,751,[70]7QI3#6,Pear
  7.454,173,buy,769,[O4]5AH1#0,Acer
  0.948,16,buy,968,[A6]]9CI7#8,Balsa
  1.136,110,buy,922,[C9]6OR5#0,Acacia
  2.007,76,buy,967,[T3]3YL1#2,Pear
  1.967,120,buy,547,[S5]0SO1#3,Birch
  1.500,180,buy,132,[M5]2KH9#8,Ebony
  4.960,12,buy,935,[L0]0QK1#0,Lemon
  1.604,194,buy,805,[P2]9FY0#0,Magnolia
  9.806,197,buy,908,[Q9]4DK9#5,Apple
  7.928,154,buy,949,[K3]1LR3#4,Acacia
  0.230,159,sell,761,[K0]2MC5#5,Spruce
  6.272,143,buy,705,[F9]9LY9#5,Hornbeam
  7.378,56,buy,806,[L7]4NL3#2,Birch
  8.252,131,buy,853,[O9]3TO9#7,Larch
  0.207,78,sell,1005,[K8]8NO2#8,Bean
  0.327,26,buy,907,[H4]8AD9#6,Bohdi
  2.768,101,buy,688,[W3]3ZY4#3,Ebony
  1.660,92,buy,792,[E3]3BD8#1,Pear
  1.950,26,buy,966,[L7]3VS2#8,Fir
  1.879,56,buy,964,[F1]5VO6#1,Holly
  1.419,41,buy,695,[M4]0LH4#1,Bohdi
  8.922,184,buy,820,[G6]7RT7#4,Bean
  0.970,157,buy,791,[H7]3GX0#1,Bean
  0.884,46,buy,500,[U7]9EQ8#0,Walnut
  1.735,161,buy,957,[A6]5FM8#0,Acacia
  0.742,178,buy,872,[G4]9OR8#8,Larch
  2.053,33,buy,425,[D0]2BV0#6,Rowan
  1.836,86,buy,708,[V2]9VI2#6,Acer
  1.667,27,buy,1004,[J1]1LI7#2,Ash
  0.714,143,sell,907,[Z4]6IZ7#4,Beech
  0.358,160,buy,984,[C3]3XE0#7,Beech
  0.583,189,buy,961,[Z1]4BQ2#1,Acacia
  1.559,78,buy,361,[B2]0YD4#5,Pear
  2.714,25,buy,837,[K6]1GS7#4,Beech
  1.488,81,buy,357,[54]5SI0#9,Elm
  7.260,79,buy,562,[D4]7NN3#2,Acacia
  0.950,130,buy,808,[L2]0SJ9#6,Hazel
  1.474,150,buy,913,[Q1]5QL6#1,Pear
  1.447,149,buy,914,[B5]7BU8#7,Elm
  1.675,14,buy,859,[92]3YZ2#9,Larch
  0.186,171,buy,888,[L3]6XY0#6,Walnut
  0.788,94,sell,815,[L4]3JD4#5,Olive
  1.074,119,buy,885,[C5]{GP4#4,Bean
  1.527,42,sell,764,[B7]3QU9#3,Yew
  1.509,84,sell,796,[N8]8ZA7#3,Acacia
  1.043,85,buy,988,[S*]9CM0#3,Elm
  1.399,165,buy,23,[X5]8JD4#9,Spruce
  1.695,123,buy,412,[E7]6&K0#1,Hazel
  0.252,154,buy,14,[W6]1WW7#8,Chestnut
  8.298,172,buy,906,[G4]7QL9#3,Elm
  0.165,158,buy,808,[G9]vYQ1#1,Bean
  2.628,10,buy,383,[H8]5RG3#7,Pear
  6.434,49,buy,768,[K1]5OQ0#9,Apple
  1.611,145,buy,906,[C8]2RU9#8,Rowan
  3.011,135,buy,817,[Y2]0VP3#1,Beech
  1.905,122,buy,746,[U7]0BZ5#5,Ebony
  1.212,174,buy,961,[M8]3SR8#9,Balsa
  1.806,56,buy,963,[V0]8LN0#0,Walnut
  1.821,173,buy,906,[S3]1KH2#5,Ash
  1.050,197,buy,853,[V3]6CA7#2,Ash
  0.975,166,buy,990,[O9J0TY6#6,Ebony
  0.580,137,buy,828,[R3]4TR9#2,Beech
  1.734,165,buy,329,[U0]5YF3#7,Fir
  1.043,36,buy,884,[Z1]2KR4#0,Elm
  1.213,107,buy,844,[Z6]4OS3#9,Spruce
  1.972,51,buy,965,[K9]7HA5#8,Bohdi
  1.441,52,buy,710,[S9]3ZH2#6,Beech
  0.724,182,buy,988,[F6]5ZX2#8,Chestnut
